Temperature - (Celsius), Year, Statistics, Country, ISO3
5.22276, 1991, Jan Average, Iran, IRN
5.84257, 1991, Feb Average, Iran, IRN
10.7641, 1991, Mar Average, Iran, IRN
17.8658, 1991, Apr Average, Iran, IRN
21.3886, 1991, May Average, Iran, IRN
26.6216, 1991, Jun Average, Iran, IRN
28.9606, 1991, Jul Average, Iran, IRN
27.777, 1991, Aug Average, Iran, IRN
23.7957, 1991, Sep Average, Iran, IRN
18.3171, 1991, Oct Average, Iran, IRN
12.1596, 1991, Nov Average, Iran, IRN
7.18575, 1991, Dec Average, Iran, IRN
2.87432, 1992, Jan Average, Iran, IRN
5.58261, 1992, Feb Average, Iran, IRN
8.28692, 1992, Mar Average, Iran, IRN
15.6363, 1992, Apr Average, Iran, IRN
20.0164, 1992, May Average, Iran, IRN
26.3789, 1992, Jun Average, Iran, IRN
28.4583, 1992, Jul Average, Iran, IRN
26.4736, 1992, Aug Average, Iran, IRN
22.5663, 1992, Sep Average, Iran, IRN
17.5075, 1992, Oct Average, Iran, IRN
12.7038, 1992, Nov Average, Iran, IRN
7.14106, 1992, Dec Average, Iran, IRN
4.2454, 1993, Jan Average, Iran, IRN
6.69934, 1993, Feb Average, Iran, IRN
10.3101, 1993, Mar Average, Iran, IRN
16.9064, 1993, Apr Average, Iran, IRN
21.8692, 1993, May Average, Iran, IRN
26.335, 1993, Jun Average, Iran, IRN
28.4364, 1993, Jul Average, Iran, IRN
27.3148, 1993, Aug Average, Iran, IRN
24.184, 1993, Sep Average, Iran, IRN
17.2624, 1993, Oct Average, Iran, IRN
10.9802, 1993, Nov Average, Iran, IRN
7.3588, 1993, Dec Average, Iran, IRN
6.22579, 1994, Jan Average, Iran, IRN
6.35391, 1994, Feb Average, Iran, IRN
12.1004, 1994, Mar Average, Iran, IRN
17.8655, 1994, Apr Average, Iran, IRN
22.4465, 1994, May Average, Iran, IRN
26.7749, 1994, Jun Average, Iran, IRN
28.9916, 1994, Jul Average, Iran, IRN
28.3624, 1994, Aug Average, Iran, IRN
22.408, 1994, Sep Average, Iran, IRN
17.8977, 1994, Oct Average, Iran, IRN
13.4854, 1994, Nov Average, Iran, IRN
5.43515, 1994, Dec Average, Iran, IRN
6.54175, 1995, Jan Average, Iran, IRN
7.76206, 1995, Feb Average, Iran, IRN
11.2775, 1995, Mar Average, Iran, IRN
16.8928, 1995, Apr Average, Iran, IRN
22.1365, 1995, May Average, Iran, IRN
26.5037, 1995, Jun Average, Iran, IRN
29.5858, 1995, Jul Average, Iran, IRN
28.8459, 1995, Aug Average, Iran, IRN
24.1159, 1995, Sep Average, Iran, IRN
17.9151, 1995, Oct Average, Iran, IRN
12.6214, 1995, Nov Average, Iran, IRN
5.82849, 1995, Dec Average, Iran, IRN
3.90517, 1996, Jan Average, Iran, IRN
7.70949, 1996, Feb Average, Iran, IRN
10.5069, 1996, Mar Average, Iran, IRN
16.3442, 1996, Apr Average, Iran, IRN
22.5696, 1996, May Average, Iran, IRN
26.7767, 1996, Jun Average, Iran, IRN
28.7591, 1996, Jul Average, Iran, IRN
27.7597, 1996, Aug Average, Iran, IRN
24.8372, 1996, Sep Average, Iran, IRN
17.9651, 1996, Oct Average, Iran, IRN
11.1532, 1996, Nov Average, Iran, IRN
8.44413, 1996, Dec Average, Iran, IRN
6.11882, 1997, Jan Average, Iran, IRN
6.43583, 1997, Feb Average, Iran, IRN
9.88919, 1997, Mar Average, Iran, IRN
16.5965, 1997, Apr Average, Iran, IRN
22.3549, 1997, May Average, Iran, IRN
27.6021, 1997, Jun Average, Iran, IRN
29.508, 1997, Jul Average, Iran, IRN
28.9193, 1997, Aug Average, Iran, IRN
24.1687, 1997, Sep Average, Iran, IRN
19.868, 1997, Oct Average, Iran, IRN
11.2993, 1997, Nov Average, Iran, IRN
7.23154, 1997, Dec Average, Iran, IRN
4.41178, 1998, Jan Average, Iran, IRN
6.17092, 1998, Feb Average, Iran, IRN
